date,player,bet,win,x,game,provider,videoUrl,thumb,tags
18.11.2024,Moses,"0,40€","307,48 €","768,7",Zombie Rabbit Invasion,Massive Studios,
06.11.2024,Moses,"0,20€","196,04 €","980,2",Zombie Rabbit Invasion,Massive Studios,
08.12.2024,Moses,"0,40€","115,48 €","288,7",Zombie Rabbit Invasion,Massive Studios,
25.12.2023,Robin,"0,70€","1.283,38 €","1833,4",Zeus vs Hades: Gods of War,Pragmatic Play,https://fkivsk.hrqhregkxq.net/5pX79RIXpu,assets/img/zvh.avif
24.12.2023,Planki,"1,00€","1.255,20 €","1255,2",Zeus vs Hades: Gods of War,Pragmatic Play,https://global.cdn4cloud.net/7gVKkwnvU6,assets/img/zvh.avif
15.02.2024,Leks,"0,30€","1.212,00 €","4040,0",Zeus vs Hades: Gods of War,Pragmatic Play,
24.12.2023,Planki,"1,00€","541,20 €","541,2",Zeus vs Hades: Gods of War,Pragmatic Play,
28.01.2024,Leks,"1,00€","512,00 €","512,0",Zeus vs Hades: Gods of War,Pragmatic Play,
15.01.2024,Planki,"0,60€","478,20 €","797,0",Zeus vs Hades: Gods of War,Pragmatic Play,https://global.cdn4cloud.net/dBd91R5K6z,assets/img/zvh.avif
02.10.2024,Robin,"0,10€","312,65 €","3126,5",Zeus vs Hades: Gods of War,Pragmatic Play,
07.02.2024,Moses,"0,20€","262,82 €","1314,0",Zeus vs Hades: Gods of War,Pragmatic Play,https://fkivsk.hrqhregkxq.net/D3Th9AOPux,assets/img/zvh.avif
28.01.2024,Leks,"0,80€","243,76 €","195,0",Zeus vs Hades: Gods of War,Pragmatic Play,
25.12.2023,Robin,"0,40€","198,48 €","496,2",Zeus vs Hades: Gods of War,Pragmatic Play,https://replay.pragmaticplay.net/f0EDGn5qnU,assets/img/zvh.avif
25.12.2023,Robin,"0,20€","150,40 €","752,0",Zeus vs Hades: Gods of War,Pragmatic Play,https://replay.pragmaticplay.net/LzZB9jatcT,assets/img/zvh.avif
03.01.2023,Robin,"0,20€","128,04 €","640,2",Zeus vs Hades: Gods of War,Pragmatic Play,https://replay.pragmaticplay.net/GZcNBMn879,assets/img/zvh.avif
28.07.2024,Planki,"0,10€","123,54 €","1235,4",Zeus vs Hades: Gods of War,Pragmatic Play,https://fkivsk.hrqhregkxq.net/U7F51Linbo,assets/img/zvh.avif
02.09.2024,Moses,"0,20€","114,90 €","574,5",Zeus vs Hades: Gods of War,Pragmatic Play,
02.09.2024,Moses,"0,20€","113,91 €","569,6",Zeus vs Hades: Gods of War,Pragmatic Play,
17.09.2024,Moses,"0,60€","469,20 €","782,0",Ze Zeus,Hacksaw Gaming,
02.09.2024,Moses,"0,20€","130,86 €","654,3",Ze Zeus,Hacksaw Gaming, https://replay.hacksawgaming.com/?roundid=13471805855&partner=745&language=de,assets/img/zzeus.avif
14.01.2025,Moses,"0,06€","435,47 €","7257,8",xWays Hoarder xSplit 2,Nolimit City,
14.01.2024,Moses,"0,20€","179,68 €","898,4",xWays Hoarder xSplit 2,Nolimit City,
10.12.2024,Moses,"0,06€","349,22 €","5820,3",xWays Hoarder xSplit,Nolimit City,
08.12.2024,Moses,"0,16€","307,33 €","1920,8",xWays Hoarder xSplit,Nolimit City,
29.03.2024,Robin,"0,20€","178,00 €","890,0",xWays Hoarder xSplit,Nolimit City,
07.12.2024,Planki,"0,40€","454,46 €","1136,15",Xmas Drop,Hacksaw Gaming,
08.12.2024,Moses,"1,00€","354,60 €","354,6",Xmas Drop,Hacksaw Gaming,
25.11.2024,Moses,"0,40€","105,72 €","264,3",Xmas Drop,Hacksaw Gaming,
22.06.2024,Robin,"2,80€","1.199,80 €","428,5",Wisdom of Athena 1000,Pragmatic Play,https://www.pplink.social/0wK87WC8Fc,assets/img/woa.avif
21.06.2025,Robin,"4,00€","799,40€","199,85",Wisdom of Athena 1000,Pragmatic Play,https://www.pplink.social/a4fm8QSpOe,assets/img/woa.avif
25.06.2025,Robin,"4,00€","461,80€","115,45",Wisdom of Athena 1000,Pragmatic Play,https://www.pplink.social/PRs4Czfo5t,assets/img/woa.avif
21.06.2025,Robin,"6,00€","453,60€","75,6",Wisdom of Athena 1000,Pragmatic Play,https://www.pplink.social/RnMOKlROFO,assets/img/woa.avif
21.06.2025,Robin,"2,80€","381,08€","136,1",Wisdom of Athena 1000,Pragmatic Play,https://www.pplink.social/MhORgeWqNO,assets/img/woa.avif
30.10.2024,Robin,"1,00€","163,20 €","163,2",Wisdom of Athena 1000,Pragmatic Play,
02.09.2024,Robin,"0,20€","168,58 €","842,9",Wisdom of Athena,Pragmatic Play,
10.12.2024,Moses,"0,50€","810,30 €","1620,6",Wings of Horus,Hacksaw Gaming,
13.04.2025,Moses,"1,40€","409,08 €","292,2",Wings of Horus,Hacksaw Gaming,
11.09.2025,Moses,"1,00€","2.958,70 €","2958,7",Wanted Dead or a Wild,Hacksaw Gaming,https://www.youtube.com/watch?v=CVfPqPZWMco,assets/img/wanted.avif
10.12.2024,Moses,"1,20€","2.262,50 €","1885,4",Wanted Dead or a Wild,Hacksaw Gaming,
14.09.2025,Domi,"0,40€","2.080,08 €","5200,2",Wanted Dead or a Wild,Hacksaw Gaming,
